sample number,z_score,p_value
0,2.217470061251154,1.9734090132865947
1,1.299845615246759,1.8063461121231774
2,0.4841794410206287,1.3717414738229636
3,1.4018038870250238,1.8390261825787886
4,1.0959290716902255,1.726890184518093
5,0.9939707999119607,1.6797629164240977
6,1.9115952459163559,1.9440718704101696
7,0.8920125281336939,1.6276137826322845
8,0.790054256355427,1.5705039171153428
9,0.9939707999119607,1.6797629164240977
